Año_Mes,provincia,Cantidad
2025-01,guayas,69509
2025-01,imbabura,9266
2025-01,loja,7168
2025-01,los rios,11796
2025-01,manabi,12358
2025-01,morona santiago,3786
2025-01,napo,1574
2025-01,orellana,2560
2025-01,pastaza,1955
2025-01,pichincha,64835
2025-01,santa elena,4134
2025-01,santo domingo de los tsachilas,8709
2025-01,sucumbios,4130
2025-01,tungurahua,11312
2025-01,zamora chinchipe,1317
2025-02,azuay,13528
2025-02,bolivar,3043
2025-02,canar,2418
2025-02,carchi,3156
2025-02,chimborazo,7304
2025-02,cotopaxi,6181
2025-02,el oro,9862
2025-02,esmeraldas,4660
2025-02,galapagos,719
2025-02,guayas,58924
2025-02,imbabura,8640
2025-02,loja,6872
2025-02,los rios,10121
2025-02,manabi,11334
2025-02,morona santiago,3584
2025-02,napo,1624
2025-02,orellana,2283
2025-02,pastaza,1857
